id,zh_CN,en
"开始游戏","开始游戏","Start"
"游戏设置","游戏设置","Options"
"附加内容","附加内容","Extra"
"退出游戏","退出游戏","Exit"
"档位 1","档位 1","SLOT 1"
"档位 2","档位 2","SLOT 2"
"档位 3","档位 3","SLOT 3"
"空档位","空档位","New"
"单击以创建新的存档","单击以创建新的存档","Click to Create New Save"
"返回","返回","Resume"
"重设","重设","Reset"
"完成","完成","Finish"
"音乐","音乐","Music"
"音效","音效","SFX"
"确认退出？","确认退出？","Are you sure you want to QUIT?"
"退出","退出","Quit"
"取消","取消","Cancel"
"删除","删除","Delete"
"你确定要删除这个存档吗？
该存档将会永久消失！（真的很久！）","你确定要删除这个存档吗？
该存档将会永久消失！（真的很久！）","Are you sure you want to delete this SLOT?
The SLOT will be lost forever!(A long time!)"
"难度： 简单","难度： 简单","Difficulty: EASY"
"难度： 普通","难度： 普通","Difficulty: NORMAL"
"难度： 困难","难度： 困难","Difficulty: HARD"
